_id,Influenza_Season,State,CDPH_HAI_HCP_FLU_VACCINATION,County,order_this_season,Number_Hospitals,HCP_Total_Number_Vaccinated,HCP_Total_Number_Working,AllHCP_FluVaccPerc_r,Emp_Number_Vaccinated,Emp_Number_Working,Emp_FluVaccPerc_r,Cont_Number_Vaccinated,Cont_Number_Working,Con_FluVaccPerc_r,Lip_Number_Vaccinated,Lip_Number_Working,LIP_FluVaccPerc_r,StudVol_Number_Vaccinated,StudVol_Number_Working,StudVolFluVaccPerc_r,Met_2020Goal,Notes
39,2021-22,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",San Joaquin,Yes,7,10492,12824,82,7512,9051,83,563,731,77,1440,1983,73,977,1059,92,No,""
40,2021-22,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",San Luis Obispo,Yes,4,2747,4588,60,1784,2259,79,256,801,32,479,1124,43,228,404,56,No,""
41,2021-22,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",San Mateo,Yes,6,9247,12426,74,6610,9327,71,96,246,39,2043,2307,89,498,546,91,No,""
42,2021-22,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Santa Barbara,Yes,5,7176,8310,86,5042,6026,84,346,381,91,1158,1226,94,630,677,93,No,""
43,2021-22,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Santa Clara,Yes,11,44290,61282,72,34765,47338,73,406,677,60,8044,11165,72,1075,2102,51,No,""
44,2021-22,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Santa Cruz,Yes,3,2878,3830,75,1989,2578,77,203,270,75,557,853,65,129,129,100,No,""
45,2021-22,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Shasta,Yes,5,3325,4644,72,2333,3399,69,200,292,68,529,690,77,263,263,100,No,""
46,2021-22,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Siskiyou,Yes,2,784,1070,73,640,865,74,17,20,85,54,96,56,73,89,82,No,""
47,2021-22,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Solano,Yes,5,9736,13328,73,7945,11262,71,68,92,74,1385,1606,86,338,368,92,No,""
48,2021-22,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Sonoma,Yes,7,7671,9589,80,5843,7491,78,157,185,85,1398,1573,89,273,340,80,No,""
49,2021-22,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Stanislaus,Yes,8,9758,15089,65,6938,10952,63,630,1013,62,1230,1679,73,960,1445,66,No,""
50,2021-22,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Sutter,Yes,1,147,192,77,77,107,72,25,35,71,42,46,91,3,4,75,No,""
51,2021-22,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Tehama,Yes,1,862,998,86,526,630,83,0,0,,219,249,88,117,119,98,No,""
52,2021-22,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Trinity,Yes,1,,,,,,,,,,,,,,,,"",Hospitals in this county did not report data
53,2021-22,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Tulare,Yes,4,6276,7406,85,4657,5485,85,266,408,65,648,781,83,705,732,96,No,""
54,2021-22,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Tuolumne,Yes,1,1409,1769,80,930,1127,83,212,245,87,168,187,90,99,210,47,No,""
55,2021-22,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Ventura,Yes,10,10911,14700,74,7221,9629,75,653,835,78,2060,2996,69,977,1240,79,No,""
56,2021-22,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Yolo,Yes,2,1753,2171,81,1073,1334,80,0,0,,538,688,78,142,149,95,No,""
57,2021-22,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Yuba,Yes,1,2859,2889,99,2024,2047,99,479,479,100,311,313,99,45,50,90,Yes,""
