_id,Influenza_Season,State,CDPH_HAI_HCP_FLU_VACCINATION,County,order_this_season,Number_Hospitals,HCP_Total_Number_Vaccinated,HCP_Total_Number_Working,AllHCP_FluVaccPerc_r,Emp_Number_Vaccinated,Emp_Number_Working,Emp_FluVaccPerc_r,Cont_Number_Vaccinated,Cont_Number_Working,Con_FluVaccPerc_r,Lip_Number_Vaccinated,Lip_Number_Working,LIP_FluVaccPerc_r,StudVol_Number_Vaccinated,StudVol_Number_Working,StudVolFluVaccPerc_r,Met_2020Goal,Notes
43,2022-23,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Santa Clara,Yes,12,45679,62656,73,36006,48729,74,622,875,71,7674,11032,70,1377,2020,68,No,""
44,2022-23,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Santa Cruz,Yes,3,3027,3745,81,2066,2647,78,232,269,86,528,627,84,201,202,100,No,""
45,2022-23,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Shasta,Yes,4,3001,4715,64,2041,3403,60,87,174,50,587,738,80,286,400,72,No,""
46,2022-23,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Siskiyou,Yes,2,849,1172,72,662,944,70,44,57,77,97,120,81,46,51,90,No,""
47,2022-23,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Solano,Yes,5,6598,9978,66,5249,8350,63,72,103,70,1055,1242,85,222,283,78,No,""
48,2022-23,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Sonoma,Yes,7,8302,10885,76,6170,8415,73,271,304,89,1325,1564,85,536,602,89,No,""
49,2022-23,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Stanislaus,Yes,8,9659,15913,61,6708,10869,62,683,1363,50,1606,2659,60,662,1022,65,No,""
50,2022-23,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Sutter,Yes,1,113,166,68,65,99,66,23,39,59,22,24,92,3,4,75,No,""
51,2022-23,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Tehama,Yes,1,811,1039,78,418,631,66,0,0,,229,239,96,164,169,97,No,""
52,2022-23,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Trinity,Yes,1,123,211,58,108,189,57,3,7,43,12,15,80,0,0,,No,""
53,2022-23,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Tulare,Yes,4,5574,6735,83,4481,5445,82,64,67,96,649,771,84,380,452,84,No,""
54,2022-23,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Tuolumne,Yes,1,1252,1628,77,958,1274,75,0,0,,159,184,86,135,170,79,No,""
55,2022-23,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Ventura,Yes,10,11453,17146,67,6731,9650,70,702,1109,63,2857,4828,59,1163,1559,75,No,""
56,2022-23,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Yolo,Yes,2,1763,2372,74,992,1413,70,59,65,91,541,706,77,171,188,91,No,""
57,2022-23,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Yuba,Yes,1,2850,3210,89,2014,2293,88,227,285,80,287,296,97,322,336,96,No,""
